CustomerID,CustomerName,Gender,Age,City,Province,MembershipType,RegistrationDate
1,Customer 1,Male,65,Islamabad,Punjab,Regular,2/7/2023
2,Customer 2,Female,40,Lahore,Punjab,Silver,10/5/2023
3,Customer 3,Male,48,Lahore,Punjab,Regular,7/29/2023
4,Customer 4,Male,59,Karachi,Sindh,VIP,11/27/2023
5,Customer 5,Female,42,Rawalpindi,Punjab,Regular,7/13/2023
6,Customer 6,Male,61,Rawalpindi,Punjab,VIP,10/4/2023
7,Customer 7,Female,25,Karachi,Sindh,Regular,10/3/2023
8,Customer 8,Male,64,Rawalpindi,Punjab,VIP,1/2/2023
9,Customer 9,Female,47,Lahore,Punjab,Regular,10/6/2023
10,Customer 10,Female,32,Rawalpindi,Punjab,Regular,6/27/2023
11,Customer 11,Female,30,Karachi,Sindh,Gold,2/27/2023
12,Customer 12,Female,57,Lahore,Punjab,Silver,1/9/2023
13,Customer 13,Male,22,Karachi,Sindh,Regular,1/18/2023
14,Customer 14,Male,33,Rawalpindi,Punjab,Silver,7/25/2023
15,Customer 15,Male,52,Rawalpindi,Punjab,Regular,1/29/2023
16,Customer 16,Female,32,Karachi,Sindh,Silver,10/22/2023
17,Customer 17,Female,33,Islamabad,Punjab,Regular,3/15/2023
18,Customer 18,Male,44,Multan,Punjab,Regular,2/1/2023
19,Customer 19,Male,58,Faisalabad,Punjab,Regular,10/12/2023
20,Customer 20,Male,40,Rawalpindi,Punjab,Gold,12/10/2023
21,Customer 21,Female,62,Rawalpindi,Punjab,Regular,3/18/2023
22,Customer 22,Female,29,Islamabad,Punjab,Silver,8/31/2023
23,Customer 23,Male,37,Karachi,Sindh,Gold,3/15/2023
24,Customer 24,Male,53,Rawalpindi,Punjab,Regular,8/2/2023
25,Customer 25,Male,42,Faisalabad,Punjab,Regular,4/15/2023
26,Customer 26,Male,46,Islamabad,Punjab,Silver,2/17/2023
27,Customer 27,Male,21,Faisalabad,Punjab,Regular,12/11/2023
28,Customer 28,Male,22,Faisalabad,Punjab,Regular,10/28/2023
29,Customer 29,Male,48,Multan,Punjab,Regular,6/20/2023
30,Customer 30,Male,31,Islamabad,Punjab,Gold,3/2/2023
31,Customer 31,Female,33,Multan,Punjab,Regular,12/27/2023
32,Customer 32,Female,33,Karachi,Sindh,Regular,5/25/2023
33,Customer 33,Female,52,Rawalpindi,Punjab,Regular,6/7/2023
34,Customer 34,Female,50,Islamabad,Punjab,Gold,8/27/2023
35,Customer 35,Female,38,Lahore,Punjab,Gold,7/9/2023
36,Customer 36,Female,20,Islamabad,Punjab,Regular,4/24/2023
37,Customer 37,Male,19,Multan,Punjab,Regular,10/27/2023
38,Customer 38,Female,36,Faisalabad,Punjab,Regular,6/18/2023
39,Customer 39,Female,54,Karachi,Sindh,Silver,9/13/2023
40,Customer 40,Female,34,Faisalabad,Punjab,Silver,9/8/2023
41,Customer 41,Female,47,Multan,Punjab,Regular,6/30/2023
42,Customer 42,Male,64,Karachi,Sindh,Regular,4/5/2023
43,Customer 43,Male,51,Faisalabad,Punjab,Regular,2/8/2023
44,Customer 44,Male,18,Multan,Punjab,Regular,11/19/2023
45,Customer 45,Male,63,Karachi,Sindh,Regular,4/22/2023
46,Customer 46,Female,41,Faisalabad,Punjab,Regular,11/23/2023
47,Customer 47,Female,60,Multan,Punjab,Regular,1/4/2023
48,Customer 48,Female,18,Faisalabad,Punjab,Regular,5/21/2023
49,Customer 49,Female,19,Faisalabad,Punjab,Regular,12/24/2023
50,Customer 50,Female,29,Multan,Punjab,Regular,2/19/2023
51,Customer 51,Male,33,Faisalabad,Punjab,Regular,9/27/2023
52,Customer 52,Female,35,Islamabad,Punjab,Silver,2/10/2023
53,Customer 53,Female,47,Islamabad,Punjab,Regular,12/23/2023
54,Customer 54,Female,61,Karachi,Sindh,Silver,2/11/2023
55,Customer 55,Male,23,Multan,Punjab,Regular,7/13/2023
56,Customer 56,Female,21,Faisalabad,Punjab,Regular,12/26/2023
57,Customer 57,Male,49,Karachi,Sindh,Silver,11/27/2023
58,Customer 58,Male,51,Islamabad,Punjab,Gold,4/28/2023
59,Customer 59,Female,35,Karachi,Sindh,Regular,2/8/2023
60,Customer 60,Female,52,Multan,Punjab,Regular,1/17/2023
61,Customer 61,Female,19,Karachi,Sindh,VIP,10/28/2023
62,Customer 62,Female,22,Karachi,Sindh,Regular,10/16/2023
63,Customer 63,Female,61,Karachi,Sindh,Gold,6/19/2023
64,Customer 64,Male,62,Rawalpindi,Punjab,Silver,9/14/2023
65,Customer 65,Female,21,Multan,Punjab,Regular,4/29/2023
66,Customer 66,Female,56,Lahore,Punjab,Silver,11/1/2023
67,Customer 67,Female,19,Rawalpindi,Punjab,Regular,8/19/2023
68,Customer 68,Male,40,Rawalpindi,Punjab,Regular,7/12/2023
69,Customer 69,Male,61,Rawalpindi,Punjab,Regular,7/14/2023
70,Customer 70,Female,33,Lahore,Punjab,Silver,2/12/2023
71,Customer 71,Male,42,Islamabad,Punjab,Silver,11/21/2023
72,Customer 72,Female,38,Karachi,Sindh,Regular,2/16/2023
73,Customer 73,Female,46,Lahore,Punjab,Regular,5/19/2023
74,Customer 74,Male,23,Lahore,Punjab,Regular,8/18/2023
75,Customer 75,Female,24,Faisalabad,Punjab,Regular,7/1/2023
76,Customer 76,Male,56,Faisalabad,Punjab,Regular,6/16/2023
77,Customer 77,Male,36,Rawalpindi,Punjab,Regular,2/13/2023
78,Customer 78,Male,54,Multan,Punjab,Regular,12/17/2023
79,Customer 79,Male,26,Rawalpindi,Punjab,Regular,5/18/2023
80,Customer 80,Male,22,Rawalpindi,Punjab,Regular,5/22/2023
81,Customer 81,Female,48,Rawalpindi,Punjab,Silver,7/4/2023
82,Customer 82,Male,64,Islamabad,Punjab,Regular,11/1/2023
83,Customer 83,Male,47,Faisalabad,Punjab,Regular,6/5/2023
84,Customer 84,Female,39,Lahore,Punjab,Silver,7/14/2023
85,Customer 85,Female,39,Islamabad,Punjab,Regular,11/30/2023
86,Customer 86,Male,37,Faisalabad,Punjab,Regular,12/22/2023
87,Customer 87,Female,38,Karachi,Sindh,Regular,7/23/2023
88,Customer 88,Female,65,Islamabad,Punjab,Regular,9/9/2023
89,Customer 89,Male,38,Faisalabad,Punjab,Regular,7/21/2023
90,Customer 90,Male,54,Islamabad,Punjab,Regular,10/7/2023
91,Customer 91,Male,64,Karachi,Sindh,Regular,12/29/2023
92,Customer 92,Female,36,Karachi,Sindh,Silver,2/5/2023
93,Customer 93,Female,26,Rawalpindi,Punjab,Regular,5/4/2023
94,Customer 94,Male,63,Islamabad,Punjab,Regular,7/13/2023
95,Customer 95,Female,56,Lahore,Punjab,Regular,7/25/2023
96,Customer 96,Female,52,Faisalabad,Punjab,Regular,7/4/2023
97,Customer 97,Male,24,Multan,Punjab,Silver,12/3/2023
98,Customer 98,Female,28,Multan,Punjab,Regular,1/23/2023
99,Customer 99,Female,39,Faisalabad,Punjab,VIP,8/9/2023
100,Customer 100,Male,24,Lahore,Punjab,Regular,9/19/2023
